,playerId,gameweek,teamId,position,playerPoints,gw,first_name,second_name,web_name,draft_rank,deadline,name,month,monthlyPoints,played,short_name,bought,sold
0,15,1,15606,1,6,1,Aaron,Ramsdale,Ramsdale,214,2022-08-05T17:30:00Z,Nicolaj,August,6,True,Ramsdale,1.0,7.0
1,284,1,15606,2,1,1,Andrew,Robertson,Robertson,40,2022-08-05T17:30:00Z,Nicolaj,August,1,True,Robertson,1.0,22.0
2,139,1,15606,3,9,1,Ben,Chilwell,Chilwell,96,2022-08-05T17:30:00Z,Nicolaj,August,9,True,Chilwell,1.0,5.0
3,429,1,15606,4,1,1,Matt,Doherty,Doherty,250,2022-08-05T17:30:00Z,Nicolaj,August,1,True,Doherty,1.0,3.0
4,283,1,15606,5,12,1,Mohamed,Salah,Salah,1,2022-08-05T17:30:00Z,Nicolaj,August,12,True,Salah,1.0,22.0
5,13,1,15606,6,6,1,Bukayo,Saka,Saka,16,2022-08-05T17:30:00Z,Nicolaj,August,6,True,Saka,1.0,9.0
6,303,1,15606,7,1,1,Riyad,Mahrez,Mahrez,20,2022-08-05T17:30:00Z,Nicolaj,August,1,True,Mahrez,1.0,4.0
7,142,1,15606,8,3,1,Mason,Mount,Mount,18,2022-08-05T17:30:00Z,Nicolaj,August,3,True,Mount,1.0,5.0
8,486,1,15606,9,2,1,Pedro,Lomba Neto,Neto,177,2022-08-05T17:30:00Z,Nicolaj,August,2,True,Neto,1.0,4.0
9,356,1,15606,10,6,1,Callum,Wilson,Wilson,35,2022-08-05T17:30:00Z,Nicolaj,August,6,True,Wilson,1.0,5.0
10,255,1,15606,11,5,1,Jamie,Vardy,Vardy,9,2022-08-05T17:30:00Z,Nicolaj,August,5,True,Vardy,1.0,7.0
11,81,1,15606,12,2,1,David,Raya Martin,Raya,427,2022-08-05T17:30:00Z,Nicolaj,August,2,False,Raya,1.0,16.0
12,145,1,15606,13,2,1,Kai,Havertz,Havertz,22,2022-08-05T17:30:00Z,Nicolaj,August,2,False,Havertz,1.0,5.0
13,367,1,15606,14,8,1,Matt,Targett,Targett,226,2022-08-05T17:30:00Z,Nicolaj,August,8,False,Targett,1.0,3.0
14,342,1,15606,15,1,1,Diogo,Dalot Teixeira,Dalot,463,2022-08-05T17:30:00Z,Nicolaj,August,1,False,Dalot,1.0,3.0
15,15,2,15606,1,1,2,Aaron,Ramsdale,Ramsdale,214,2022-08-13T10:00:00Z,Nicolaj,August,7,True,Ramsdale,1.0,7.0
16,284,2,15606,2,2,2,Andrew,Robertson,Robertson,40,2022-08-13T10:00:00Z,Nicolaj,August,3,True,Robertson,1.0,22.0
17,342,2,15606,3,0,2,Diogo,Dalot Teixeira,Dalot,463,2022-08-13T10:00:00Z,Nicolaj,August,1,True,Dalot,1.0,3.0
18,367,2,15606,4,0,2,Matt,Targett,Targett,226,2022-08-13T10:00:00Z,Nicolaj,August,8,True,Targett,1.0,3.0
19,283,2,15606,5,2,2,Mohamed,Salah,Salah,1,2022-08-13T10:00:00Z,Nicolaj,August,14,True,Salah,1.0,22.0
20,13,2,15606,6,2,2,Bukayo,Saka,Saka,16,2022-08-13T10:00:00Z,Nicolaj,August,8,True,Saka,1.0,9.0
21,303,2,15606,7,3,2,Riyad,Mahrez,Mahrez,20,2022-08-13T10:00:00Z,Nicolaj,August,4,True,Mahrez,1.0,4.0
22,142,2,15606,8,2,2,Mason,Mount,Mount,18,2022-08-13T10:00:00Z,Nicolaj,August,5,True,Mount,1.0,5.0
